refYear,refMonth,origin,tonnes,share_pct
2019,1,India,619122.54969,6.416061952400249
2019,1,Kuwait,95928.90225,0.9941259289779167
2019,1,Other,1980200.354117,20.521120021457996
2019,1,Russian Federation,4166248.3191,43.17547041020134
2019,1,Saudi Arabia,1372542.214,14.223865504039546
2019,1,USA,894179.7237049999,9.266521638961525
2019,1,United Arab Emirates,521350.436331,5.402834543961411
2019,2,India,694242.69136,8.459552132755018
2019,2,Kuwait,105112.21951800001,1.2808234236649876
2019,2,Other,1184556.739461,14.434173548224404
2019,2,Russian Federation,3896605.0793330004,47.4812831587769
2019,2,Saudi Arabia,1386120.775,16.890290822416134
2019,2,USA,515265.671503,6.278664312273372
2019,2,United Arab Emirates,424709.661778,5.175212601889193
2019,3,India,786324.492309,8.922432003596818
2019,3,Kuwait,66055.7,0.7495346990519329
2019,3,Other,1930055.273999,21.90035680418853
2019,3,Russian Federation,3755242.82124,42.61077844735662
2019,3,Saudi Arabia,855673.218,9.709332698622966
2019,3,USA,798971.140639,9.065933650692255
2019,3,United Arab Emirates,620571.5511800001,7.041631696490878
2019,4,India,982982.126,11.420848412444592
2019,4,Kuwait,181449.01145,2.10817836819789
2019,4,Other,1606114.4995090002,18.66075663711672
2019,4,Russian Federation,3735901.1073780004,43.40583526668116
2019,4,Saudi Arabia,1056512.49677,12.27516630497056
2019,4,USA,460550.409121,5.350937997483261
2019,4,United Arab Emirates,583400.191329,6.778277013105812
2019,5,India,465770.3169,5.191038953234718
2019,5,Kuwait,125430.795823,1.3979339675100353
2019,5,Other,1883105.1571739998,20.987323299149075
2019,5,Russian Federation,4010648.99557,44.6989307998892
2019,5,Saudi Arabia,1198608.92,13.358570453407514
2019,5,USA,527319.863011,5.8770124466566145
2019,5,United Arab Emirates,761699.688536,8.489190080152847
2019,6,India,649631.70235,7.371099751858959
2019,6,Kuwait,54310.9,0.6162431113892155
2019,6,Other,1919093.718823,21.775155343310196
2019,6,Russian Federation,3580582.85414,40.627379009040745
2019,6,Saudi Arabia,1179916.27,13.388017385157633
2019,6,USA,799371.334384,9.07013285097734
2019,6,United Arab Emirates,630319.526,7.151972548265919
2019,7,India,629283.8079,7.098025766478309
2019,7,Kuwait,124144.903,1.4002961926059603
2019,7,Other,1560661.976541,17.60353402261915
2019,7,Russian Federation,3654744.95906,41.22380643462699
2019,7,Saudi Arabia,1228382.823,13.855581248546796
2019,7,USA,1004625.546961,11.33170427789668
2019,7,United Arab Emirates,663773.3904500001,7.487052057226099
2019,8,India,181272.304,1.9390055059137359
2019,8,Kuwait,140074.237,1.4983244035981664
2019,8,Other,2324570.179779,24.865102268873702
2019,8,Russian Federation,4046195.8117799996,43.280720683323565
2019,8,Saudi Arabia,1272172.787,13.60798083344614
2019,8,USA,890470.034484,9.525041948579581
2019,8,United Arab Emirates,493970.239935,5.283824356265114
2019,9,India,620816.095,7.301850426900534
2019,9,Kuwait,268109.916,3.153427432645519
2019,9,Other,1671673.7634160002,19.661719277812125
2019,9,Russian Federation,3638327.55002,42.79290403113262
2019,9,Saudi Arabia,996139.204,11.716286885216402
2019,9,USA,1011984.893115,11.902659069766312
2019,9,United Arab Emirates,295123.488974,3.4711528765264648
2019,10,India,1135613.316309,12.769777855168762
2019,10,Kuwait,200137.372,2.2505105780759136
2019,10,Other,1469806.740309,16.527725850185952
2019,10,Russian Federation,4002283.0581000005,45.00498966633811
2019,10,Saudi Arabia,1019388.1,11.46284514125981
2019,10,USA,389011.281018,4.3743654379646335
2019,10,United Arab Emirates,676736.4172769999,7.609785471006802
2019,11,India,759583.3679,9.158083484615963
2019,11,Kuwait,152961.9,1.8442186985193443
2019,11,Other,1646312.81631,19.849131577542806
2019,11,Russian Federation,3470695.6583100003,41.845203478285825
2019,11,Saudi Arabia,1338922.17,16.143008826224676
2019,11,USA,394671.7486490001,4.75844650619411
2019,11,United Arab Emirates,530982.537316,6.401907428617275
2019,12,India,710133.5227000001,9.293208743138253
2019,12,Kuwait,139818.0,1.8297373923537832
2019,12,Other,1517014.3934369998,19.85250797758924
2019,12,Russian Federation,3713845.91072,48.6014871639172
2019,12,Saudi Arabia,809385.077,10.592070693330232
2019,12,USA,326210.36945,4.268973313566259
2019,12,United Arab Emirates,425017.151,5.562014716105038
2020,1,India,1053246.6865,10.565301985061225
2020,1,Kuwait,206570.875,2.072148627351351
2020,1,Other,2209697.853983,22.16586619479682
2020,1,Russian Federation,4095903.34414,41.086723829404846
2020,1,Saudi Arabia,1416500.509,14.2091647013009
2020,1,USA,447797.999515,4.491940163518639
2020,1,United Arab Emirates,539204.472,5.408854498566218
2020,2,India,568311.592734,7.499880333602856
2020,2,Kuwait,127365.901,1.6808191638079186
2020,2,Other,1290027.003835,17.024196373215933
2020,2,Russian Federation,4312797.717195,56.91502196249842
2020,2,Saudi Arabia,425112.595,5.610115351455916
2020,2,USA,645822.553342,8.522775056383383
2020,2,United Arab Emirates,208171.4447,2.7471917590355712
2020,3,India,610191.9326000001,7.424247540794014
2020,3,Kuwait,289359.844,3.520661279587588
2020,3,Other,1436960.685305,17.483600264323336
2020,3,Russian Federation,4504176.85881,54.80263205846495
2020,3,Saudi Arabia,386073.7249,4.697385772441805
2020,3,USA,634522.7564200001,7.720282360758672
2020,3,United Arab Emirates,357620.278981,4.351190723629633
2020,4,India,167446.386192,3.095934870955648
2020,4,Kuwait,0.131,2.422073580197495e-06
2020,4,Other,1009206.4582710002,18.659330530861645
2020,4,Russian Federation,3369731.2465,62.30333606498949
2020,4,Saudi Arabia,370144.723,6.8436469803650395
2020,4,USA,360078.953587,6.657539849375824
2020,4,United Arab Emirates,131980.8855,2.440209281378784
2020,5,India,51476.905,0.7849725551862202
2020,5,Kuwait,200189.096,3.0526883115358148
2020,5,Other,1547977.86779,23.60515151893521
2020,5,Russian Federation,3469899.178464,52.91257553960271
2020,5,Saudi Arabia,593617.584,9.052088732140186
2020,5,USA,383198.82217400003,5.843408001826739
2020,5,United Arab Emirates,311437.33321099996,4.749115340773128
2020,6,India,189694.25705000001,2.264834354690391
2020,6,Kuwait,334344.251,3.9918675332297147
2020,6,Other,1772229.4919219997,21.159345043548015
2020,6,Russian Federation,3229342.643396,38.55639214160353
2020,6,Saudi Arabia,1779838.25,21.25018899928802
2020,6,USA,800013.7501749999,9.55167886365401
2020,6,United Arab Emirates,270172.27462,3.225693063986318
2020,7,India,168947.2787,2.3843313574129086
2020,7,Kuwait,95421.344,1.3466692356121632
2020,7,Other,1376640.624767,19.42835324000076
2020,7,Russian Federation,3510620.6246920004,49.54494031417406
2020,7,Saudi Arabia,905422.937,12.778118221385668
2020,7,USA,553950.0694070001,7.817826549745827
2020,7,United Arab Emirates,474726.9708,6.6997610816686235
2020,8,India,165144.353,2.347838251033378
2020,8,Kuwait,215355.56,3.0616851993765337
2020,8,Other,1223656.980785,17.39659039768098
2020,8,Russian Federation,3440664.2118,48.91552692344042
2020,8,Saudi Arabia,858559.56283,12.206042445803574
2020,8,USA,842099.322744,11.97202910781736
2020,8,United Arab Emirates,288409.71258500003,4.100287674847748
2020,9,India,88239.12695,1.4057944190395553
2020,9,Kuwait,87082.738257,1.387371245249758
2020,9,Other,1400315.3457729998,22.309326554178107
2020,9,Russian Federation,2633274.9711289997,41.95240123247495
2020,9,Saudi Arabia,881901.52,14.05014167537047
2020,9,USA,566973.165245,9.032815022050857
2020,9,United Arab Emirates,619028.9853,9.862149851636296
2020,10,India,76678.722744,0.9596059033136898
2020,10,Kuwait,213504.382,2.6719285092235405
